Names,PartyNm,Electorate,Provinces
Jamal Mirdad,Partai Gerakan Indonesia Raya,Jawa Tengah I,Jawa Tengah
Abdul Wachid,Partai Gerakan Indonesia Raya,Jawa Tengah II,Jawa Tengah
Sri Wulan,Partai Gerakan Indonesia Raya,Jawa Tengah III,Jawa Tengah
Rahayu Saraswati Djojohadikusumo,Partai Gerakan Indonesia Raya,Jawa Tengah IV,Jawa Tengah
Bambang Riyanto,Partai Gerakan Indonesia Raya,Jawa Tengah V,Jawa Tengah
Harry Poernomo,Partai Gerakan Indonesia Raya,Jawa Tengah VI,Jawa Tengah
KRT. H Darori Wonodipuro,Partai Gerakan Indonesia Raya,Jawa Tengah VII,Jawa Tengah
Novita Wijayanti,Partai Gerakan Indonesia Raya,Jawa Tengah VIII,Jawa Tengah
Mohamad Hekal,Partai Gerakan Indonesia Raya,Jawa Tengah IX,Jawa Tengah
Ramson Siagian,Partai Gerakan Indonesia Raya,Jawa Tengah X,Jawa Tengah
Andika Pandu Puragabaya,Partai Gerakan Indonesia Raya,DI Yogyakarta,DI Yogyakarta
Bambang Haryo Soekartono,Partai Gerakan Indonesia Raya,Jawa Timur I,Jawa Timur
Soepriyatno,Partai Gerakan Indonesia Raya,Jawa Timur II,Jawa Timur
Sumail Abdullah,Partai Gerakan Indonesia Raya,Jawa Timur III,Jawa Timur
Bambang Haryadi,Partai Gerakan Indonesia Raya,Jawa Timur IV,Jawa Timur
Moreno Soeprapto,Partai Gerakan Indonesia Raya,Jawa Timur V,Jawa Timur
Endro Hermono,Partai Gerakan Indonesia Raya,Jawa Timur VI,Jawa Timur
Supriyanto,Partai Gerakan Indonesia Raya,Jawa Timur VII,Jawa Timur
Sareh Wiyono,Partai Gerakan Indonesia Raya,Jawa Timur VIII,Jawa Timur
Wihadi Wiyanto,Partai Gerakan Indonesia Raya,Jawa Timur IX,Jawa Timur
Khilmi,Partai Gerakan Indonesia Raya,Jawa Timur X,Jawa Timur
Moh Nizar Zahro,Partai Gerakan Indonesia Raya,Jawa Timur XI,Jawa Timur
Anda,Partai Gerakan Indonesia Raya,Banten I,Banten
Desmond Junaidi Mahesa,Partai Gerakan Indonesia Raya,Banten II,Banten
Sufmi Dasco Ahmad,Partai Gerakan Indonesia Raya,Banten III,Banten
Ida Bagus Putu Sukarta,Partai Gerakan Indonesia Raya,Bali,Bali
Wilgo Zainar,Partai Gerakan Indonesia Raya,Nusa Tenggara Barat,Nusa Tenggara Barat
Pius Lustrilanang,Partai Gerakan Indonesia Raya,Nusa Tenggara Timur I,Nusa Tenggara Timur
Fary Djemy Francis,Partai Gerakan Indonesia Raya,Nusa Tenggara Timur II,Nusa Tenggara Timur
Katherine A Oendoen,Partai Gerakan Indonesia Raya,Kalimantan Barat,Kalimantan Barat
Iwa Kurniawan,Partai Gerakan Indonesia Raya,Kalimantan Tengah,Kalimantan Tengah
Saiful Rasyid,Partai Gerakan Indonesia Raya,Kalimantan Selatan I,Kalimantan Selatan
Sjachrani Mataja,Partai Gerakan Indonesia Raya,Kalimantan Selatan II,Kalimantan Selatan
Luther Kombong,Partai Gerakan Indonesia Raya,Kalimantan Timur,Kalimantan Timur
Wenny Warouw,Partai Gerakan Indonesia Raya,Sulawesi Utara,Sulawesi Utara
Supratman Andi Agtas,Partai Gerakan Indonesia Raya,Sulawesi Tengah,Sulawesi Tengah
Azikin Solthan,Partai Gerakan Indonesia Raya,Sulawesi Selatan I,Sulawesi Selatan
Andi Iwan Darmawan Aras,Partai Gerakan Indonesia Raya,Sulawesi Selatan II,Sulawesi Selatan
Andi Nawir,Partai Gerakan Indonesia Raya,Sulawesi Selatan III,Sulawesi Selatan
Haerul Saleh,Partai Gerakan Indonesia Raya,Sulawesi Tenggara,Sulawesi Tenggara
Elnino M Husein Mohi,Partai Gerakan Indonesia Raya,Gorontalo,Gorontalo
Ruskati Ali Baal,Partai Gerakan Indonesia Raya,Sulawesi Barat,Sulawesi Barat
Amrullah Amri Tuasikal,Partai Gerakan Indonesia Raya,Maluku,Maluku
Roberth Rouw,Partai Gerakan Indonesia Raya,Papua,Papua
Teuku Riefky Harsya,Partai Demokrat,Aceh I,Aceh
Muslim,Partai Demokrat,Aceh II,Aceh
Ruhut Poltak Sitompul,Partai Demokrat,Sumatera Utara I,Sumatera Utara
Rooslynda Marpaung,Partai Demokrat,Sumatera Utara II,Sumatera Utara
Rudi Hartono Bangun,Partai Demokrat,Sumatera Utara III,Sumatera Utara
Darizal Basir,Partai Demokrat,Sumatera Barat I,Sumatera Barat
Mulyadi,Partai Demokrat,Sumatera Barat II,Sumatera Barat
Sutan Sukarnotomo,Partai Demokrat,Riau I,Riau
Muhammad Nasir,Partai Demokrat,Riau II,Riau
Zulfikar Achmad,Partai Demokrat,Jambi,Jambi
Wahyu Sanjaya,Partai Demokrat,Sumatera Selatan II,Sumatera Selatan
Syofwatillah Mohzaib,Partai Demokrat,Sumatera Selatan I,Sumatera Selatan
Zulkifli Anwar,Partai Demokrat,Lampung I,Lampung
Marwan Cik Asan,Partai Demokrat,Lampung II,Lampung
Eko Wijaya,Partai Demokrat,Bangka Belitung,Kep. Bangka Belitung
Dwi Astuti Wulandari,Partai Demokrat,Jakarta I,Dki Jakarta
Melani Leimena Suharli,Partai Demokrat,Jakarta II,Dki Jakarta
Agung Budi Santoso,Partai Demokrat,Jawa Barat I,Jawa Barat
Dede Yusuf Macan Effendi,Partai Demokrat,Jawa Barat II,Jawa Barat
Sjarifuddin Hasan,Partai Demokrat,Jawa Barat III,Jawa Barat
Anton Sukartono Suratto,Partai Demokrat,Jawa Barat V,Jawa Barat
Saan Mustopa,Partai Demokrat,Jawa Barat VII,Jawa Barat
