Name,PartyNm,Electorate,Provinces,Votes
Ahmad Riza Patria,Partai Gerakan Indonesia Raya,Jawa Barat III,Jawa Barat,"23,991"
Heri Gunawan,Partai Gerakan Indonesia Raya,Jawa Barat IV,Jawa Barat,"19,998"
Fadli Zon,Partai Gerakan Indonesia Raya,Jawa Barat V,Jawa Barat,"79,074"
Nuroji,Partai Gerakan Indonesia Raya,Jawa Barat VI,Jawa Barat,"52,838"
Putih Sari,Partai Gerakan Indonesia Raya,Jawa Barat VII,Jawa Barat,"56,745"
Kardaya Warnika,Partai Gerakan Indonesia Raya,Jawa Barat VIII,Jawa Barat,"34,761"
Oo Sutisna,Partai Gerakan Indonesia Raya,Jawa Barat IX,Jawa Barat,"34,650"
Subarna,Partai Gerakan Indonesia Raya,Jawa Barat XI,Jawa Barat,"19,795"
Jamal Mirdad,Partai Gerakan Indonesia Raya,Jawa Tengah I,Jawa Tengah,"39,760"
Abdul Wachid,Partai Gerakan Indonesia Raya,Jawa Tengah II,Jawa Tengah,65.925
Sri Wulan,Partai Gerakan Indonesia Raya,Jawa Tengah III,Jawa Tengah,"64,423"
Rahayu Saraswati Djojohadikusumo,Partai Gerakan Indonesia Raya,Jawa Tengah IV,Jawa Tengah,"47,542"
Bambang Riyanto,Partai Gerakan Indonesia Raya,Jawa Tengah V,Jawa Tengah,"34,872"
Harry Poernomo,Partai Gerakan Indonesia Raya,Jawa Tengah VI,Jawa Tengah,"56,323"
KRT. H Darori Wonodipuro,Partai Gerakan Indonesia Raya,Jawa Tengah VII,Jawa Tengah,"65,630"
Novita Wijayanti,Partai Gerakan Indonesia Raya,Jawa Tengah VIII,Jawa Tengah,"83,327"
Mohamad Hekal,Partai Gerakan Indonesia Raya,Jawa Tengah IX,Jawa Tengah,"53,567"
Ramson Siagian,Partai Gerakan Indonesia Raya,Jawa Tengah X,Jawa Tengah,"28,535"
Andika Pandu Puragabaya,Partai Gerakan Indonesia Raya,DI Yogyakarta,DI Yogyakarta,"72,290"
Bambang Haryo Soekartono,Partai Gerakan Indonesia Raya,Jawa Timur I,Jawa Timur,"33,896"
Soepriyatno,Partai Gerakan Indonesia Raya,Jawa Timur II,Jawa Timur,63.574
Sumail Abdullah,Partai Gerakan Indonesia Raya,Jawa Timur III,Jawa Timur,"28,257"
Bambang Haryadi,Partai Gerakan Indonesia Raya,Jawa Timur IV,Jawa Timur,"87,040"
Moreno Soeprapto,Partai Gerakan Indonesia Raya,Jawa Timur V,Jawa Timur,"52,921"
Endro Hermono,Partai Gerakan Indonesia Raya,Jawa Timur VI,Jawa Timur,"39,955"
Supriyanto,Partai Gerakan Indonesia Raya,Jawa Timur VII,Jawa Timur,"51,931"
Sareh Wiyono,Partai Gerakan Indonesia Raya,Jawa Timur VIII,Jawa Timur,"68,017"
Wihadi Wiyanto,Partai Gerakan Indonesia Raya,Jawa Timur IX,Jawa Timur,"29,133"
Khilmi,Partai Gerakan Indonesia Raya,Jawa Timur X,Jawa Timur,"46,127"
Moh Nizar Zahro,Partai Gerakan Indonesia Raya,Jawa Timur XI,Jawa Timur,"159,006"
Anda,Partai Gerakan Indonesia Raya,Banten I,Banten,"26,841"
Desmond Junaidi Mahesa,Partai Gerakan Indonesia Raya,Banten II,Banten,"61,275"
Sufmi Dasco Ahmad,Partai Gerakan Indonesia Raya,Banten III,Banten,"56,323"
Ida Bagus Putu Sukarta,Partai Gerakan Indonesia Raya,Bali,Bali,"54,655"
Wilgo Zainar,Partai Gerakan Indonesia Raya,NTB,NTB,"55,192"
Pius Lustrilanang,Partai Gerakan Indonesia Raya,NTT I,NTT,"55,432"
Fary Djemy Francis,Partai Gerakan Indonesia Raya,NTT II,NTT,"48,351"
Katherine A Oendoen,Partai Gerakan Indonesia Raya,Kalimantan Barat,Kalimantan Barat,"38,455"
Iwa Kurniawan,Partai Gerakan Indonesia Raya,Kalimantan Tengah,Kalimantan Tengah,"30,358"
Saiful Rasyid,Partai Gerakan Indonesia Raya,Kalimantan Selatan I,Kalimantan Selatan,"24,733"
Sjachrani Mataja,Partai Gerakan Indonesia Raya,Kalimantan Selatan II,Kalimantan Selatan,"31,347"
Luther Kombong,Partai Gerakan Indonesia Raya,Kalimantan Timur,Kalimantan Timur,"84,001"
Wenny Warouw,Partai Gerakan Indonesia Raya,Sulawesi Utara,Sulawesi Utara,"35,660"
Supratman Andi Agtas,Partai Gerakan Indonesia Raya,Sulawesi Tengah,Sulawesi Tengah,"61,500"
Azikin Solthan,Partai Gerakan Indonesia Raya,Sulawesi Selatan I,Sulawesi Selatan,"57,352"
Andi Iwan Darmawan Aras,Partai Gerakan Indonesia Raya,Sulawesi Selatan II,Sulawesi Selatan,"91,739"
Andi Nawir,Partai Gerakan Indonesia Raya,Sulawesi Selatan III,Sulawesi Selatan,"45,197"
Haerul Saleh,Partai Gerakan Indonesia Raya,Sulawesi Tenggara,Sulawesi Tenggara,"30,820"
Elnino M Husein Mohi,Partai Gerakan Indonesia Raya,Gorontalo,Gorontalo,"37,512"
Ruskati Ali Baal,Partai Gerakan Indonesia Raya,Sulawesi Barat,Sulawesi Barat,"55,014"
